case,seed,hours,elapsed_days,timestamp_utc,existing_10000_tokens_net_ETH,new_one_ETH_entry_net_return
Stabilization; patient buyers,1,6.0,0.25,2026-09-16T08:57:33+00:00,0.9041204745163395,-0.07778466717376431
Stabilization; patient buyers,1,12.0,0.5,2026-09-16T14:57:33+00:00,0.8310843456107659,-0.15228234681029795
Stabilization; patient buyers,1,24.0,1.0,2026-09-17T02:57:33+00:00,0.92269189686966,-0.05884160973670538
Stabilization; patient buyers,2,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Stabilization; patient buyers,2,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.97343521016277,-0.007082860955401893
Stabilization; patient buyers,2,3.0,0.125,2026-09-16T05:57:33+00:00,0.9325959419944866,-0.04873937362590375
Stabilization; patient buyers,2,6.0,0.25,2026-09-16T08:57:33+00:00,0.9118481558818439,-0.06990234614292157
Stabilization; patient buyers,2,12.0,0.5,2026-09-16T14:57:33+00:00,0.8499882368470207,-0.13300016001582204
Stabilization; patient buyers,2,24.0,1.0,2026-09-17T02:57:33+00:00,0.8343106951910886,-0.1489914332526996
Stabilization; patient buyers,3,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Stabilization; patient buyers,3,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.934292274416548,-0.047009091213522036
Stabilization; patient buyers,3,3.0,0.125,2026-09-16T05:57:33+00:00,0.8751108108478184,-0.1073748497511724
Stabilization; patient buyers,3,6.0,0.25,2026-09-16T08:57:33+00:00,0.8746262444234298,-0.1078691129693653
Stabilization; patient buyers,3,12.0,0.5,2026-09-16T14:57:33+00:00,0.857241323417661,-0.12560192922909663
Stabilization; patient buyers,3,24.0,1.0,2026-09-17T02:57:33+00:00,0.9272312130614319,-0.05421145701129715
Speculative recovery,0,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Speculative recovery,0,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,1.120316826424687,0.1427368565076268
Speculative recovery,0,3.0,0.125,2026-09-16T05:57:33+00:00,1.2708906926789405,0.2963235956676771
Speculative recovery,0,6.0,0.25,2026-09-16T08:57:33+00:00,1.4252225708498418,0.4537432217575996
Speculative recovery,0,12.0,0.5,2026-09-16T14:57:33+00:00,1.4563688825726193,0.485512689185134
Speculative recovery,0,24.0,1.0,2026-09-17T02:57:33+00:00,1.1715588024093768,0.1950042184978702
Speculative recovery,1,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Speculative recovery,1,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,1.106290999093194,0.12843038830957543
Speculative recovery,1,3.0,0.125,2026-09-16T05:57:33+00:00,1.272796800863698,0.29826784184249844
Speculative recovery,1,6.0,0.25,2026-09-16T08:57:33+00:00,1.4488607754938811,0.4778543641527493
Speculative recovery,1,12.0,0.5,2026-09-16T14:57:33+00:00,1.397518364976904,0.4254847211371906
Speculative recovery,1,24.0,1.0,2026-09-17T02:57:33+00:00,1.545694070582599,0.576625014939109
Speculative recovery,2,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Speculative recovery,2,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,1.1066961636442783,0.1288436597552618
Speculative recovery,2,3.0,0.125,2026-09-16T05:57:33+00:00,1.2493970856036958,0.2743999633149814
Speculative recovery,2,6.0,0.25,2026-09-16T08:57:33+00:00,1.3750567165361554,0.40257366690617347
Speculative recovery,2,12.0,0.5,2026-09-16T14:57:33+00:00,1.2713734886960493,0.29681605161456903
Speculative recovery,2,24.0,1.0,2026-09-17T02:57:33+00:00,1.3328889762992502,0.359562242752163
Speculative recovery,3,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Speculative recovery,3,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,1.1063752742293673,0.12851634969814762
Speculative recovery,3,3.0,0.125,2026-09-16T05:57:33+00:00,1.239730430684558,0.26453989361686125
Speculative recovery,3,6.0,0.25,2026-09-16T08:57:33+00:00,1.3999024074856425,0.42791646274459705
Speculative recovery,3,12.0,0.5,2026-09-16T14:57:33+00:00,1.33998258401748,0.3667977781281524
Speculative recovery,3,24.0,1.0,2026-09-17T02:57:33+00:00,1.4997736235433468,0.5297858476031978
Replacement selling accelerates,0,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Replacement selling accelerates,0,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8227809262210644,-0.16075192999299814
Replacement selling accelerates,0,3.0,0.125,2026-09-16T05:57:33+00:00,0.7291140953880608,-0.2562932006034907
Replacement selling accelerates,0,6.0,0.25,2026-09-16T08:57:33+00:00,0.516918427574883,-0.47273578591660914
Replacement selling accelerates,0,12.0,0.5,2026-09-16T14:57:33+00:00,0.44106726412182523,-0.5501049046624803
Replacement selling accelerates,0,24.0,1.0,2026-09-17T02:57:33+00:00,0.3897261785539331,-0.60247346634437
Replacement selling accelerates,1,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Replacement selling accelerates,1,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8236353392557976,-0.15988041886659865
Replacement selling accelerates,1,3.0,0.125,2026-09-16T05:57:33+00:00,0.7346091162135121,-0.25068821355134785
Replacement selling accelerates,1,6.0,0.25,2026-09-16T08:57:33+00:00,0.571172976608193,-0.41739550332611774
Replacement selling accelerates,1,12.0,0.5,2026-09-16T14:57:33+00:00,0.40795945306278325,-0.5838752916585304
Replacement selling accelerates,1,24.0,1.0,2026-09-17T02:57:33+00:00,0.31667978347322334,-0.6769817561253637
Replacement selling accelerates,2,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Replacement selling accelerates,2,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8534809395099774,-0.12943756354882685
Replacement selling accelerates,2,3.0,0.125,2026-09-16T05:57:33+00:00,0.7214398963892995,-0.26412097534278933
Replacement selling accelerates,2,6.0,0.25,2026-09-16T08:57:33+00:00,0.5986958080434397,-0.38932145573358645
Replacement selling accelerates,2,12.0,0.5,2026-09-16T14:57:33+00:00,0.40570585293005024,-0.5861739926630138
Replacement selling accelerates,2,24.0,1.0,2026-09-17T02:57:33+00:00,0.3512333456320721,-0.641736659949578
Replacement selling accelerates,3,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Replacement selling accelerates,3,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8288363425488796,-0.15457533573133786
Replacement selling accelerates,3,3.0,0.125,2026-09-16T05:57:33+00:00,0.7287139866076723,-0.2567013163366756
Replacement selling accelerates,3,6.0,0.25,2026-09-16T08:57:33+00:00,0.5635670967877467,-0.4251535896557129
Replacement selling accelerates,3,12.0,0.5,2026-09-16T14:57:33+00:00,0.3943568624537079,-0.5977501089206544
Replacement selling accelerates,3,24.0,1.0,2026-09-17T02:57:33+00:00,0.37132273045156466,-0.6212452229085318
Owner executes buybacks,0,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Owner executes buybacks,0,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9549058732872344,-0.02598299375665647
Owner executes buybacks,0,3.0,0.125,2026-09-16T05:57:33+00:00,0.9989362591429836,0.01892848738557862
Owner executes buybacks,0,6.0,0.25,2026-09-16T08:57:33+00:00,0.9245601440063501,-0.05693597698145825
Owner executes buybacks,0,12.0,0.5,2026-09-16T14:57:33+00:00,0.6481024221307689,-0.3389260912454597
Owner executes buybacks,0,24.0,1.0,2026-09-17T02:57:33+00:00,0.7668011241708609,-0.21785198316571042
Owner executes buybacks,1,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Owner executes buybacks,1,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9272215144917391,-0.05422134965966052
Owner executes buybacks,1,3.0,0.125,2026-09-16T05:57:33+00:00,0.8810893093893765,-0.10127671389847825
Owner executes buybacks,1,6.0,0.25,2026-09-16T08:57:33+00:00,0.8376218675667041,-0.14561399952053766
Owner executes buybacks,1,12.0,0.5,2026-09-16T14:57:33+00:00,0.6143071663484829,-0.3733976742834785
Owner executes buybacks,1,24.0,1.0,2026-09-17T02:57:33+00:00,0.7601818758997092,-0.22460369526928392
Owner executes buybacks,2,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Owner executes buybacks,2,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9335782725219269,-0.047737381022634584
Owner executes buybacks,2,3.0,0.125,2026-09-16T05:57:33+00:00,0.8397393563306468,-0.143454136763985
Owner executes buybacks,2,6.0,0.25,2026-09-16T08:57:33+00:00,0.779030883663811,-0.20537748499968533
Owner executes buybacks,2,12.0,0.5,2026-09-16T14:57:33+00:00,0.6959823075694339,-0.2900880223987361
Owner executes buybacks,2,24.0,1.0,2026-09-17T02:57:33+00:00,0.9783843643885438,-0.002034669870954575
Owner executes buybacks,3,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Owner executes buybacks,3,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9293026551631192,-0.05209856318404038
Owner executes buybacks,3,3.0,0.125,2026-09-16T05:57:33+00:00,0.8859854962970803,-0.09628254821887827
Owner executes buybacks,3,6.0,0.25,2026-09-16T08:57:33+00:00,0.8059530128119036,-0.1779165994999221
Owner executes buybacks,3,12.0,0.5,2026-09-16T14:57:33+00:00,0.603787193769092,-0.3841281782352235
Owner executes buybacks,3,24.0,1.0,2026-09-17T02:57:33+00:00,1.045003095257748,0.06591715408035714
Crowded bank-exit expectations,0,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Crowded bank-exit expectations,0,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8260407158060366,-0.15742690712525698
Crowded bank-exit expectations,0,3.0,0.125,2026-09-16T05:57:33+00:00,0.6453242848142122,-0.3417598256138058
Crowded bank-exit expectations,0,6.0,0.25,2026-09-16T08:57:33+00:00,0.5634749671647113,-0.4252475629502488
Crowded bank-exit expectations,0,12.0,0.5,2026-09-16T14:57:33+00:00,0.3604627630912546,-0.6323225322083579
Crowded bank-exit expectations,0,24.0,1.0,2026-09-17T02:57:33+00:00,0.3790273373121454,-0.6133864233189501
Crowded bank-exit expectations,1,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Crowded bank-exit expectations,1,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8060647996484681,-0.17780257563300672
Crowded bank-exit expectations,1,3.0,0.125,2026-09-16T05:57:33+00:00,0.6945442148710117,-0.29155489435711845
Crowded bank-exit expectations,1,6.0,0.25,2026-09-16T08:57:33+00:00,0.5805031080826438,-0.4078786595460906
Crowded bank-exit expectations,1,12.0,0.5,2026-09-16T14:57:33+00:00,0.4239547480081387,-0.5675598870176146
Crowded bank-exit expectations,1,24.0,1.0,2026-09-17T02:57:33+00:00,0.3969441368430739,-0.5951110556787035
Crowded bank-exit expectations,2,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Crowded bank-exit expectations,2,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.832907348871031,-0.15042286258034443
Crowded bank-exit expectations,2,3.0,0.125,2026-09-16T05:57:33+00:00,0.7558710000075121,-0.22900083955092443
Crowded bank-exit expectations,2,6.0,0.25,2026-09-16T08:57:33+00:00,0.6611597568199477,-0.32560744915561146
Crowded bank-exit expectations,2,12.0,0.5,2026-09-16T14:57:33+00:00,0.43236936176409696,-0.5589768745434799
Crowded bank-exit expectations,2,24.0,1.0,2026-09-17T02:57:33+00:00,0.4183972642060598,-0.5732285910852056
Crowded bank-exit expectations,3,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
Crowded bank-exit expectations,3,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8446738495434692,-0.1384208956523889
Crowded bank-exit expectations,3,3.0,0.125,2026-09-16T05:57:33+00:00,0.7448118912215864,-0.24028126175479203
Crowded bank-exit expectations,3,6.0,0.25,2026-09-16T08:57:33+00:00,0.6747774473638765,-0.3117172376929034
Crowded bank-exit expectations,3,12.0,0.5,2026-09-16T14:57:33+00:00,0.5210377038615729,-0.468534074637289
Crowded bank-exit expectations,3,24.0,1.0,2026-09-17T02:57:33+00:00,0.4391845615564148,-0.5520252849289295
No branch expansion,0,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
No branch expansion,0,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8953215033864671,-0.08675971634304003
No branch expansion,0,3.0,0.125,2026-09-16T05:57:33+00:00,0.805290171412214,-0.17859270540434868
No branch expansion,0,6.0,0.25,2026-09-16T08:57:33+00:00,0.688551652816509,-0.29766738029958795
No branch expansion,0,12.0,0.5,2026-09-16T14:57:33+00:00,0.630391246168383,-0.3569917107511765
No branch expansion,0,24.0,1.0,2026-09-17T02:57:33+00:00,0.778412697166657,-0.20600804246259719
No branch expansion,1,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
No branch expansion,1,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.868727132416634,-0.11388627383006678
No branch expansion,1,3.0,0.125,2026-09-16T05:57:33+00:00,0.754540080186539,-0.23035839349270648
No branch expansion,1,6.0,0.25,2026-09-16T08:57:33+00:00,0.7057138212306882,-0.2801617609389586
No branch expansion,1,12.0,0.5,2026-09-16T14:57:33+00:00,0.7229349751899644,-0.26259597706650084
No branch expansion,1,24.0,1.0,2026-09-17T02:57:33+00:00,0.9057108520912743,-0.07616246432009122
No branch expansion,2,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
No branch expansion,2,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8761276194197899,-0.10633769354338263
No branch expansion,2,3.0,0.125,2026-09-16T05:57:33+00:00,0.7796313455853897,-0.20476500681276322
No branch expansion,2,6.0,0.25,2026-09-16T08:57:33+00:00,0.6992039161674188,-0.2868019426692263
No branch expansion,2,12.0,0.5,2026-09-16T14:57:33+00:00,0.6212665970579496,-0.3662989680100214
No branch expansion,2,24.0,1.0,2026-09-17T02:57:33+00:00,0.5984079446703162,-0.3896150799997372
No branch expansion,3,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
No branch expansion,3,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8255272838933934,-0.15795061357792972
No branch expansion,3,3.0,0.125,2026-09-16T05:57:33+00:00,0.7381445796243679,-0.2470819987863433
No branch expansion,3,6.0,0.25,2026-09-16T08:57:33+00:00,0.645074688294444,-0.3420144171478
No branch expansion,3,12.0,0.5,2026-09-16T14:57:33+00:00,0.6244859873440919,-0.36301514978204075
No branch expansion,3,24.0,1.0,2026-09-17T02:57:33+00:00,0.615069407053063,-0.37262017922886803
No new outside capital,0,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
No new outside capital,0,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9401552900865681,-0.04102875063674216
No new outside capital,0,3.0,0.125,2026-09-16T05:57:33+00:00,0.9278040541053997,-0.05362715281647068
No new outside capital,0,6.0,0.25,2026-09-16T08:57:33+00:00,0.8057537961724938,-0.17811980277930617
No new outside capital,0,12.0,0.5,2026-09-16T14:57:33+00:00,0.6922339887024919,-0.2939113530342229
No new outside capital,0,24.0,1.0,2026-09-17T02:57:33+00:00,0.6063413215554146,-0.3815229358101351
No new outside capital,1,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
No new outside capital,1,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.8780125297014819,-0.10441506381668664
No new outside capital,1,3.0,0.125,2026-09-16T05:57:33+00:00,0.8057919202075413,-0.17808091582152208
No new outside capital,1,6.0,0.25,2026-09-16T08:57:33+00:00,0.7131274851186004,-0.27259973455345976
No new outside capital,1,12.0,0.5,2026-09-16T14:57:33+00:00,0.6751381444749631,-0.3113493222368561
No new outside capital,1,24.0,1.0,2026-09-17T02:57:33+00:00,0.48557214991899855,-0.5047093694204864
No new outside capital,2,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
No new outside capital,2,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.9382009790983648,-0.04302216935905567
No new outside capital,2,3.0,0.125,2026-09-16T05:57:33+00:00,0.9369387671582535,-0.04430963944299038
No new outside capital,2,6.0,0.25,2026-09-16T08:57:33+00:00,0.8270022239582567,-0.15644615776005366
No new outside capital,2,12.0,0.5,2026-09-16T14:57:33+00:00,0.7100683410700435,-0.27572009826528987
No new outside capital,2,24.0,1.0,2026-09-17T02:57:33+00:00,0.5948727066058541,-0.3932210673912505
No new outside capital,3,0.0,0.0,2026-09-16T02:57:33+00:00,0.9129197743293752,-0.06880928341537129
No new outside capital,3,1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.943551097934328,-0.03756498928687513
No new outside capital,3,3.0,0.125,2026-09-16T05:57:33+00:00,0.9197744305395463,-0.061817457709271384
No new outside capital,3,6.0,0.25,2026-09-16T08:57:33+00:00,0.8354638222352468,-0.14781523046003264
No new outside capital,3,12.0,0.5,2026-09-16T14:57:33+00:00,0.6494481931832548,-0.3375533881677598
No new outside capital,3,24.0,1.0,2026-09-17T02:57:33+00:00,0.5774079577281509,-0.41103574886881467
